subgroup,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
male,236,0.8121565934065934,0.8415205261060184,0.9111829562785968
female,308,0.8601779173207744,0.8570470923412099,0.9360847509161612
homosexual_gay_or_lesbian,62,0.9241830065359478,0.8057896977437207,0.98022295756096
christian,232,0.8692226890756303,0.9105201666158693,0.8967993711490821
jewish,39,0.7862903225806452,0.8079993483219289,0.9147807830733995
muslim,110,0.8447058823529412,0.7432409867172676,0.9720592430060341
black,90,0.7963362068965518,0.7504265445402298,0.957852493983811
white,132,0.8639175257731959,0.7601644094063742,0.9759137489995449
psychiatric_or_mental_illness,34,0.76,0.8291276864728192,0.8785588858613382
